path,type,encrypted,password,origin,original name
docx/encrypted.docx,docx,yes,password,stefl.andreas@gmail.com,
doc/encrypted.doc,doc,yes,password,stefl.andreas@gmail.com,
ods/pages.ods,ods,yes,test,tomtasche@gmail.com,
docx/sample1.docx,docx,no,,https://filesamples.com/samples/document/docx/sample1.docx,sample1.docx
docx/file-sample_1MB.docx,docx,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_1MB.docx,file-sample_1MB.docx
docx/15-MB-docx-file-download.docx,docx,no,,https://jsoncompare.org/LearningContainer/SampleFiles/DOCX/15-MB-docx-file-download.docx,15-MB-docx-file-download.docx
docx/sample-docx-file-for-testing.docx,docx,no,,https://www.learningcontainer.com/download/sample-docx-file-for-testing/?wpdmdl=1574&refresh=61735e5f68b6f1634950751,sample-docx-file-for-testing.docx
docx/sample2.docx,docx,no,,https://filesamples.com/samples/document/docx/sample2.docx,sample2.docx
docx/sample3.docx,docx,no,,https://filesamples.com/samples/document/docx/sample3.docx,sample3.docx
docx/sample4.docx,docx,no,,https://filesamples.com/samples/document/docx/sample4.docx,sample4.docx
docx/file-sample_1MB.docx,docx,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_1MB.docx,file-sample_1MB.docx
docx/file-sample_500kB.docx,docx,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_500kB.docx,file-sample_500kB.docx
docx/file-sample_100kB.docx,docx,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_100kB.docx,file-sample_100kB.docx
docx/785KB.docx,docx,no,,https://www.appsloveworld.com/sample-word-file-download/,785KB.docx
docx/170KB.docx,docx,no,,https://www.appsloveworld.com/sample-word-file-download/,170KB.docx
docx/23KB.docx,docx,no,,https://www.appsloveworld.com/sample-word-file-download/,23KB.docx
docx/15KB.docx,docx,no,,https://www.appsloveworld.com/sample-word-file-download/,15KB.docx
docx/12KB.docx,docx,no,,https://www.appsloveworld.com/sample-word-file-download/,12KB.docx
docx/11KB.docx,docx,no,,https://www.appsloveworld.com/sample-word-file-download/,11KB.docx
doc/file-sample_1MB.doc,doc,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_1MB.doc,file-sample_1MB.doc
doc/file-sample_500kB.doc,doc,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_500kB.doc,file-sample_500kB.doc
doc/file-sample_100kB.doc,doc,no,,https://file-examples-com.github.io/uploads/2017/02/file-sample_100kB.doc,file-sample_100kB.doc
doc/785KB.doc,doc,no,,https://www.appsloveworld.com/sample-word-file-download/,785KB.doc
doc/170KB.doc,doc,no,,https://www.appsloveworld.com/sample-word-file-download/,170KB.doc
doc/23KB.doc,doc,no,,https://www.appsloveworld.com/sample-word-file-download/,23KB.doc
doc/15KB.doc,doc,no,,https://www.appsloveworld.com/sample-word-file-download/,15KB.doc
doc/12KB.doc,doc,no,,https://www.appsloveworld.com/sample-word-file-download/,12KB.doc
doc/11KB.doc,doc,no,,https://www.appsloveworld.com/sample-word-file-download/,11KB.doc
doc/SampleDOCFile_5000kb.doc,doc,no,,https://sample-videos.com/doc/Sample-doc-file-5000kb.doc,SampleDOCFile_5000kb.doc
doc/SampleDOCFile_2000kb.doc,doc,no,,https://sample-videos.com/doc/Sample-doc-file-2000kb.doc,SampleDOCFile_2000kb.doc
doc/SampleDOCFile_1000kb.doc,doc,no,,https://sample-videos.com/doc/Sample-doc-file-1000kb.doc,SampleDOCFile_1000kb.doc
doc/SampleDOCFile_500kb.doc,doc,no,,https://sample-videos.com/doc/Sample-doc-file-500kb.doc,SampleDOCFile_500kb.doc
doc/SampleDOCFile_200kb.doc,doc,no,,https://sample-videos.com/doc/Sample-doc-file-200kb.doc,SampleDOCFile_200kb.doc
doc/SampleDOCFile_100kb.doc,doc,no,,https://sample-videos.com/doc/Sample-doc-file-100kb.doc,SampleDOCFile_100kb.doc
xlsx/sample.xlsx,xlsx,no,,https://jyoti.co.in/wp-content/uploads/2015/03/sample.xlsx,sample.xlsx
xls/file_example_XLS_10.xls,xls,no,,https://file-examples-com.github.io/uploads/2017/02/file_example_XLS_10.xls,file_example_XLS_10.xls
xls/file_example_XLS_50.xls,xls,no,,https://file-examples-com.github.io/uploads/2017/02/file_example_XLS_50.xls,file_example_XLS_50.xls
xls/file_example_XLS_100.xls,xls,no,,https://file-examples-com.github.io/uploads/2017/02/file_example_XLS_100.xls,file_example_XLS_100.xls
xls/file_example_XLS_1000.xls,xls,no,,https://file-examples-com.github.io/uploads/2017/02/file_example_XLS_1000.xls,file_example_XLS_1000.xls
